TTT (K)	𝝆𝑳	𝝆𝑽	𝑷	∆𝑯𝑽	ρL+/-	ρV+/-	P+/-	Hvap+/-
430.00	0.629000	0.008260	0.239100	30.830000	0.001000	0.000020	0.000600	0.060000
420.00	0.638000	0.006670	0.190900	31.470000	0.001000	0.000020	0.000500	0.080000
410.00	0.647000	0.005330	0.150500	32.090000	0.001000	0.000020	0.000500	0.070000
400.00	0.656000	0.004210	0.117000	32.690000	0.001000	0.000010	0.000400	0.050000
390.00	0.664000	0.003280	0.089700	33.280000	0.001000	0.000010	0.000300	0.040000
TTT (K)	𝝆𝑳	𝝆𝑽	#VALUE!	∆𝑯𝑽	#VALUE!	#VALUE!	#VALUE!	#VALUE!
380.00	0.416100	0.068700	2.349000	11.460000	0.000300	0.000300	0.005000	0.020000
370.00	0.440000	0.053600	1.952000	13.020000	0.000200	0.000200	0.004000	0.020000
360.00	0.460200	0.042600	1.608000	14.260000	0.000100	0.000100	0.004000	0.010000
350.00	0.478000	0.033950	1.310000	15.320000	0.000300	0.000070	0.003000	0.010000
340.00	0.494300	0.027000	1.056000	16.260000	0.000300	0.000040	0.003000	0.010000
330.00	0.509500	0.021340	0.839000	17.104000	0.000200	0.000030	0.003000	0.007000
320.00	0.523800	0.016720	0.658000	17.875000	0.000300	0.000020	0.003000	0.008000
310.00	0.537400	0.012950	0.506000	18.587000	0.000300	0.000020	0.002000	0.009000
300.00	0.550400	0.009880	0.383000	19.248000	0.000200	0.000020	0.002000	0.006000
290.00	0.562800	0.007420	0.283000	19.860000	0.000500	0.000020	0.002000	0.020000
280.00	0.574600	0.005460	0.205000	20.430000	0.000500	0.000020	0.002000	0.020000
270.00	0.586100	0.003920	0.144000	20.970000	0.000400	0.000020	0.001000	0.030000
260.00	0.597400	0.002750	0.098000	21.490000	0.000400	0.000020	0.001000	0.020000
TTT (K)	𝝆𝑳	𝝆𝑽	#VALUE!	∆𝑯𝑽	#VALUE!	#VALUE!	#VALUE!	#VALUE!
430.00	0.425700	0.073300	2.218000	12.930000	0.000500	0.000100	0.003000	0.030000
420.00	0.448500	0.057730	1.873000	14.720000	0.000500	0.000090	0.003000	0.020000
410.00	0.468200	0.046360	1.572000	16.170000	0.000400	0.000060	0.004000	0.010000
400.00	0.485600	0.037580	1.310000	17.376000	0.000300	0.000030	0.004000	0.007000
390.00	0.501500	0.030500	1.081000	18.436000	0.000200	0.000030	0.004000	0.004000
380.00	0.516200	0.024690	0.883000	19.390000	0.000300	0.000030	0.003000	0.004000
370.00	0.529900	0.019870	0.713000	20.258000	0.000300	0.000040	0.003000	0.009000
360.00	0.542900	0.015870	0.569000	21.060000	0.000300	0.000040	0.003000	0.010000
350.00	0.555300	0.012550	0.448000	21.800000	0.000300	0.000040	0.002000	0.020000
340.00	0.567200	0.009810	0.347000	22.500000	0.000400	0.000040	0.002000	0.020000
330.00	0.578600	0.007560	0.264000	23.150000	0.000700	0.000040	0.002000	0.030000
320.00	0.589700	0.005730	0.197000	23.770000	0.000700	0.000030	0.001000	0.030000
310.00	0.600800	0.004270	0.144100	24.380000	0.000500	0.000020	0.000900	0.020000
300.00	0.612100	0.003110	0.102800	24.980000	0.000300	0.000010	0.000700	0.010000
290.00	0.623000	0.002210	0.071400	25.540000	0.001000	0.000010	0.000600	0.050000
TTT (K)	𝝆𝑳	𝝆𝑽	#VALUE!	∆𝑯𝑽	#VALUE!	#VALUE!	#VALUE!	#VALUE!
410.00	0.400000	0.084000	2.326000	10.800000	0.003000	0.002000	0.005000	0.100000
400.00	0.427000	0.066100	1.963000	12.560000	0.001000	0.000600	0.003000	0.070000
390.00	0.449400	0.052600	1.645000	14.040000	0.000700	0.000200	0.002000	0.040000
380.00	0.468400	0.042200	1.367000	15.280000	0.000300	0.000100	0.001000	0.020000
370.00	0.485400	0.034100	1.126000	16.350000	0.000200	0.000100	0.001000	0.020000
360.00	0.500900	0.027400	0.918000	17.290000	0.000200	0.000070	0.001000	0.020000
350.00	0.515100	0.021940	0.739000	18.130000	0.000200	0.000050	0.002000	0.010000
340.00	0.528500	0.017440	0.588000	18.890000	0.000600	0.000030	0.002000	0.020000
330.00	0.541300	0.013730	0.461000	19.610000	0.000800	0.000020	0.002000	0.030000
320.00	0.553700	0.010670	0.355000	20.280000	0.000700	0.000020	0.002000	0.020000
310.00	0.565600	0.008180	0.269000	20.910000	0.000500	0.000030	0.002000	0.020000
300.00	0.576900	0.006170	0.199000	21.490000	0.000400	0.000030	0.001000	0.020000
290.00	0.588100	0.004560	0.144000	22.050000	0.000400	0.000030	0.001000	0.020000
280.00	0.599000	0.003290	0.102000	22.580000	0.001000	0.000020	0.000900	0.040000
TTT (K)	𝝆𝑳	𝝆𝑽	#VALUE!	∆𝑯𝑽	#VALUE!	#VALUE!	#VALUE!	#VALUE!
480.00	0.401000	0.093700	2.390000	12.380000	0.001000	0.000500	0.005000	0.050000
470.00	0.426800	0.074900	2.045000	14.450000	0.000800	0.000400	0.003000	0.020000
460.00	0.449700	0.059900	1.741000	16.370000	0.000600	0.000300	0.002000	0.020000
450.00	0.469400	0.048300	1.474000	18.000000	0.000300	0.000200	0.003000	0.020000
440.00	0.486800	0.039340	1.239000	19.390000	0.000100	0.000080	0.003000	0.020000
430.00	0.502500	0.032150	1.035000	20.600000	0.000200	0.000030	0.003000	0.020000
420.00	0.516900	0.026260	0.857000	21.680000	0.000300	0.000050	0.003000	0.020000
410.00	0.530400	0.021380	0.703000	22.660000	0.000300	0.000060	0.003000	0.020000
400.00	0.543200	0.017310	0.570000	23.570000	0.000300	0.000060	0.002000	0.020000
390.00	0.555400	0.013910	0.458000	24.420000	0.000200	0.000060	0.002000	0.010000
380.00	0.567200	0.011080	0.363000	25.220000	0.000200	0.000050	0.002000	0.010000
370.00	0.578500	0.008730	0.283000	25.970000	0.000300	0.000040	0.001000	0.010000
360.00	0.589600	0.006790	0.218000	26.690000	0.000400	0.000030	0.001000	0.010000
350.00	0.600300	0.005210	0.164400	27.370000	0.000200	0.000030	0.000800	0.010000
340.00	0.610500	0.003930	0.121700	28.010000	0.000200	0.000020	0.000600	0.020000
330.00	0.620200	0.002920	0.088200	28.610000	0.000500	0.000020	0.000500	0.030000
TTT (K)	𝝆𝑳	𝝆𝑽	#VALUE!	∆𝑯𝑽	#VALUE!	#VALUE!	#VALUE!	#VALUE!
480.00	0.419900	0.080800	2.280000	13.990000	0.000900	0.000500	0.007000	0.040000
470.00	0.443700	0.065600	1.961000	15.860000	0.000800	0.000400	0.006000	0.060000
460.00	0.463500	0.054000	1.676000	17.390000	0.000400	0.000400	0.004000	0.050000
450.00	0.481200	0.044700	1.424000	18.720000	0.000400	0.000200	0.003000	0.040000
440.00	0.497200	0.037000	1.200000	19.920000	0.000500	0.000100	0.003000	0.020000
430.00	0.512000	0.030500	1.004000	21.000000	0.000400	0.000060	0.002000	0.020000
420.00	0.526000	0.025060	0.832000	22.000000	0.000600	0.000040	0.002000	0.030000
410.00	0.539000	0.020480	0.683000	22.930000	0.000900	0.000030	0.002000	0.050000
400.00	0.551200	0.016630	0.555000	23.780000	0.000900	0.000030	0.002000	0.050000
390.00	0.563100	0.013400	0.446000	24.590000	0.000900	0.000040	0.002000	0.050000
380.00	0.574900	0.010700	0.354000	25.360000	0.000500	0.000040	0.002000	0.030000
370.00	0.586000	0.008440	0.277000	26.085000	0.000300	0.000030	0.002000	0.008000
360.00	0.596400	0.006580	0.213000	26.760000	0.000900	0.000030	0.001000	0.030000
350.00	0.607100	0.005070	0.161000	27.430000	0.000500	0.000020	0.001000	0.040000
340.00	0.617700	0.003830	0.120000	28.070000	0.000600	0.000020	0.001000	0.030000
330.00	0.627800	0.002840	0.087100	28.690000	0.000600	0.000020	0.000900	0.040000
320.00	0.636900	0.002060	0.061800	29.240000	0.000600	0.000020	0.000700	0.040000
TTT (K)	𝝆𝑳	𝝆𝑽	#VALUE!	∆𝑯𝑽	#VALUE!	#VALUE!	#VALUE!	#VALUE!
470.00	0.406000	0.095000	2.432000	11.790000	0.001000	0.000500	0.007000	0.040000
460.00	0.432200	0.075600	2.092000	13.850000	0.000900	0.000200	0.007000	0.020000
450.00	0.454600	0.061200	1.790000	15.560000	0.000800	0.000100	0.007000	0.030000
440.00	0.473600	0.050200	1.523000	16.960000	0.000600	0.000100	0.006000	0.030000
430.00	0.490500	0.041450	1.287000	18.160000	0.000400	0.000090	0.006000	0.020000
420.00	0.505900	0.034200	1.079000	19.230000	0.000400	0.000070	0.005000	0.020000
410.00	0.520200	0.028140	0.896000	20.210000	0.000400	0.000060	0.005000	0.020000
400.00	0.533700	0.023050	0.738000	21.100000	0.000400	0.000060	0.004000	0.020000
390.00	0.546400	0.018750	0.601000	21.930000	0.000500	0.000050	0.004000	0.020000
380.00	0.558500	0.015140	0.484000	22.700000	0.000300	0.000050	0.003000	0.020000
370.00	0.570100	0.012120	0.385000	23.420000	0.000200	0.000050	0.003000	0.020000
360.00	0.581300	0.009590	0.301000	24.100000	0.000100	0.000040	0.003000	0.010000
350.00	0.592000	0.007490	0.233000	24.740000	0.000400	0.000040	0.002000	0.010000
340.00	0.602600	0.005770	0.176000	25.360000	0.000600	0.000040	0.002000	0.020000
330.00	0.613100	0.004370	0.131000	25.960000	0.000600	0.000040	0.002000	0.030000
320.00	0.622700	0.003250	0.096000	26.500000	0.000900	0.000030	0.001000	0.060000
TTT (K)	𝝆𝑳	𝝆𝑽	#VALUE!	∆𝑯𝑽	#VALUE!	#VALUE!	#VALUE!	#VALUE!
470.00	0.430600	0.081300	2.191000	13.650000	0.000400	0.000200	0.003000	0.040000
460.00	0.453700	0.065000	1.873000	15.560000	0.000200	0.000100	0.003000	0.020000
450.00	0.473800	0.052590	1.594000	17.190000	0.000200	0.000070	0.003000	0.010000
440.00	0.491500	0.043010	1.348000	18.560000	0.000100	0.000050	0.003000	0.010000
430.00	0.507500	0.035330	1.131000	19.740000	0.000200	0.000040	0.003000	0.010000
420.00	0.522200	0.029020	0.942000	20.800000	0.000200	0.000030	0.003000	0.010000
410.00	0.536000	0.023760	0.778000	21.760000	0.000200	0.000020	0.003000	0.010000
400.00	0.548900	0.019350	0.635000	22.650000	0.000200	0.000020	0.003000	0.010000
390.00	0.561200	0.015650	0.513000	23.460000	0.000300	0.000020	0.003000	0.020000
380.00	0.572900	0.012550	0.410000	24.230000	0.000500	0.000030	0.003000	0.020000
370.00	0.584300	0.009970	0.323000	24.960000	0.000600	0.000040	0.003000	0.030000
360.00	0.595200	0.007820	0.251000	25.640000	0.000300	0.000040	0.002000	0.010000
350.00	0.605800	0.006060	0.191000	26.290000	0.000300	0.000040	0.002000	0.020000
340.00	0.615900	0.004620	0.144000	26.900000	0.000400	0.000040	0.002000	0.020000
330.00	0.625800	0.003460	0.106000	27.490000	0.000400	0.000030	0.001000	0.030000
320.00	0.635600	0.002540	0.076000	28.060000	0.000400	0.000030	0.001000	0.030000
TTT (K)	𝝆𝑳	𝝆𝑽	#VALUE!	∆𝑯𝑽	#VALUE!	#VALUE!	#VALUE!	#VALUE!
510.00	0.410300	0.084500	2.065000	14.670000	0.000300	0.000300	0.004000	0.030000
500.00	0.435600	0.067900	1.777000	16.910000	0.000300	0.000200	0.004000	0.020000
490.00	0.456800	0.055200	1.521000	18.790000	0.000400	0.000100	0.004000	0.020000
480.00	0.475000	0.045320	1.295000	20.380000	0.000400	0.000080	0.004000	0.020000
470.00	0.491300	0.037400	1.096000	21.770000	0.000400	0.000070	0.004000	0.020000
460.00	0.506400	0.030880	0.920000	23.020000	0.000300	0.000060	0.003000	0.020000
450.00	0.520400	0.025430	0.767000	24.170000	0.000200	0.000050	0.003000	0.020000
440.00	0.533600	0.020860	0.633000	25.220000	0.000400	0.000040	0.003000	0.030000
430.00	0.546000	0.017010	0.518000	26.200000	0.000600	0.000030	0.003000	0.040000
420.00	0.557800	0.013780	0.419000	27.120000	0.000700	0.000030	0.003000	0.040000
410.00	0.569300	0.011070	0.335000	27.990000	0.000600	0.000020	0.002000	0.040000
400.00	0.580300	0.008810	0.265000	28.810000	0.000400	0.000020	0.002000	0.030000
390.00	0.590900	0.006930	0.206000	29.590000	0.000500	0.000030	0.002000	0.020000
380.00	0.601000	0.005390	0.158000	30.320000	0.000700	0.000030	0.002000	0.030000
370.00	0.610900	0.004120	0.120000	31.030000	0.000600	0.000030	0.002000	0.030000
360.00	0.620900	0.003110	0.089000	31.730000	0.000300	0.000030	0.001000	0.030000
TTT (K)	𝝆𝑳	𝝆𝑽	#VALUE!	∆𝑯𝑽	#VALUE!	#VALUE!	#VALUE!	#VALUE!
520.00	0.403000	0.094600	2.287000	13.740000	0.001000	0.000800	0.005000	0.090000
510.00	0.429200	0.075700	1.980000	16.120000	0.000600	0.000400	0.003000	0.040000
500.00	0.450600	0.061800	1.707000	18.050000	0.000200	0.000300	0.002000	0.020000
490.00	0.469200	0.051100	1.463000	19.650000	0.000400	0.000200	0.001000	0.020000
480.00	0.486300	0.042400	1.247100	21.080000	0.000500	0.000200	0.000800	0.030000
470.00	0.502000	0.035200	1.056000	22.380000	0.000400	0.000100	0.001000	0.020000
460.00	0.516400	0.029180	0.887000	23.550000	0.000200	0.000090	0.001000	0.020000
450.00	0.529700	0.024100	0.739000	24.620000	0.000200	0.000060	0.002000	0.020000
440.00	0.542100	0.019810	0.611000	25.610000	0.000200	0.000040	0.002000	0.020000
430.00	0.553900	0.016190	0.500000	26.530000	0.000400	0.000020	0.002000	0.020000
420.00	0.565700	0.013140	0.405000	27.420000	0.000600	0.000010	0.002000	0.030000
410.00	0.577200	0.010570	0.324000	28.280000	0.000500	0.000010	0.002000	0.020000
400.00	0.587900	0.008420	0.256000	29.070000	0.000400	0.000020	0.002000	0.030000
390.00	0.598300	0.006630	0.200000	29.830000	0.000900	0.000020	0.002000	0.060000
380.00	0.608500	0.005160	0.153000	30.560000	0.000800	0.000020	0.002000	0.060000
370.00	0.618800	0.003960	0.116000	31.280000	0.000800	0.000020	0.002000	0.060000
360.00	0.628300	0.002990	0.086000	31.930000	0.000800	0.000030	0.001000	0.080000
TTT (K)	𝝆𝑳	𝝆𝑽	#VALUE!	∆𝑯𝑽	#VALUE!	#VALUE!	#VALUE!	#VALUE!
520.00	0.409500	0.094400	2.284000	13.810000	0.000200	0.000200	0.001000	0.010000
510.00	0.435400	0.075900	1.976400	16.110000	0.000200	0.000100	0.000800	0.010000
500.00	0.457600	0.061780	1.703000	18.081000	0.000200	0.000060	0.000600	0.008000
490.00	0.476500	0.050920	1.459900	19.730000	0.000300	0.000040	0.000600	0.010000
480.00	0.493400	0.042250	1.244100	21.150000	0.000400	0.000030	0.000600	0.020000
470.00	0.508800	0.035100	1.053000	22.420000	0.000300	0.000030	0.000600	0.020000
460.00	0.523200	0.029110	0.884700	23.570000	0.000300	0.000030	0.000500	0.010000
450.00	0.536700	0.024060	0.737200	24.650000	0.000200	0.000030	0.000400	0.010000
440.00	0.549600	0.019790	0.608800	25.650000	0.000200	0.000030	0.000400	0.010000
430.00	0.561700	0.016170	0.497900	26.580000	0.000300	0.000020	0.000400	0.020000
420.00	0.573200	0.013120	0.403000	27.450000	0.000300	0.000020	0.000400	0.020000
410.00	0.584100	0.010550	0.322400	28.260000	0.000400	0.000020	0.000500	0.030000
400.00	0.594700	0.008400	0.254700	29.040000	0.000400	0.000010	0.000500	0.030000
390.00	0.605100	0.006615	0.198500	29.780000	0.000500	0.000007	0.000500	0.030000
380.00	0.615300	0.005144	0.152400	30.510000	0.000500	0.000007	0.000500	0.030000
370.00	0.625200	0.003943	0.115000	31.200000	0.000400	0.000007	0.000400	0.030000
360.00	0.634900	0.002974	0.085200	31.860000	0.000500	0.000007	0.000400	0.040000
350.00	0.644600	0.002203	0.061900	32.520000	0.000700	0.000006	0.000300	0.050000
TTT (K)	𝝆𝑳	𝝆𝑽	#VALUE!	∆𝑯𝑽	#VALUE!	#VALUE!	#VALUE!	#VALUE!
500.00	0.424000	0.082900	2.040000	14.600000	0.001000	0.000600	0.010000	0.100000
490.00	0.447000	0.066700	1.760000	16.620000	0.001000	0.000500	0.010000	0.090000
480.00	0.467000	0.054600	1.505000	18.320000	0.001000	0.000400	0.009000	0.060000
470.00	0.484600	0.045100	1.284000	19.740000	0.000600	0.000300	0.007000	0.040000
460.00	0.500200	0.037400	1.087000	20.990000	0.000400	0.000200	0.006000	0.020000
450.00	0.514700	0.031000	0.914000	22.120000	0.000300	0.000200	0.005000	0.020000
440.00	0.528300	0.025600	0.763000	23.170000	0.000300	0.000200	0.004000	0.020000
430.00	0.541200	0.021100	0.631000	24.130000	0.000500	0.000100	0.004000	0.030000
420.00	0.553400	0.017200	0.516000	25.030000	0.000500	0.000100	0.003000	0.040000
410.00	0.564900	0.014010	0.418000	25.860000	0.000500	0.000080	0.003000	0.030000
400.00	0.575900	0.011280	0.335000	26.640000	0.000600	0.000060	0.002000	0.030000
390.00	0.586700	0.008990	0.265000	27.390000	0.000600	0.000050	0.002000	0.030000
380.00	0.597200	0.007090	0.207000	28.100000	0.000700	0.000040	0.001000	0.040000
370.00	0.607500	0.005520	0.159000	28.790000	0.000900	0.000040	0.001000	0.040000
360.00	0.618000	0.004230	0.119900	29.470000	0.001000	0.000030	0.000900	0.060000
350.00	0.628000	0.003190	0.088800	30.130000	0.002000	0.000020	0.000800	0.080000
TTT (K)	𝝆𝑳	𝝆𝑽	#VALUE!	∆𝑯𝑽	#VALUE!	#VALUE!	#VALUE!	#VALUE!
510.00	0.433400	0.081400	2.071000	15.310000	0.000700	0.000300	0.004000	0.050000
500.00	0.456400	0.066200	1.788000	17.310000	0.000500	0.000200	0.004000	0.040000
490.00	0.476000	0.054400	1.536000	18.990000	0.000400	0.000100	0.004000	0.030000
480.00	0.493200	0.045100	1.312000	20.420000	0.000400	0.000100	0.003000	0.020000
470.00	0.508800	0.037440	1.114000	21.690000	0.000400	0.000080	0.003000	0.020000
460.00	0.523300	0.031090	0.939000	22.840000	0.000300	0.000060	0.002000	0.020000
450.00	0.536800	0.025760	0.786000	23.900000	0.000300	0.000050	0.002000	0.020000
440.00	0.549700	0.021260	0.652000	24.880000	0.000300	0.000040	0.002000	0.020000
430.00	0.561800	0.017440	0.536000	25.790000	0.000200	0.000030	0.001000	0.010000
420.00	0.573500	0.014220	0.436000	26.650000	0.000200	0.000020	0.001000	0.010000
410.00	0.584700	0.011490	0.351000	27.460000	0.000300	0.000020	0.001000	0.020000
400.00	0.595600	0.009210	0.279000	28.230000	0.000200	0.000020	0.001000	0.010000
390.00	0.606100	0.007290	0.218500	28.960000	0.000400	0.000020	0.000900	0.020000
380.00	0.616100	0.005710	0.168900	29.650000	0.000600	0.000020	0.000800	0.040000
370.00	0.625900	0.004410	0.128400	30.310000	0.000300	0.000020	0.000700	0.020000
360.00	0.635400	0.003350	0.095900	30.940000	0.000500	0.000020	0.000600	0.030000
350.00	0.644500	0.002510	0.070300	31.540000	0.000800	0.000010	0.000500	0.050000
340.00	0.653600	0.001840	0.050300	32.140000	0.000400	0.000010	0.000300	0.020000
TTT (K)	𝝆𝑳	𝝆𝑽	#VALUE!	∆𝑯𝑽	#VALUE!	#VALUE!	#VALUE!	#VALUE!
500.00	0.425800	0.079500	1.984000	15.190000	0.000400	0.000200	0.007000	0.020000
490.00	0.449200	0.064000	1.705000	17.262000	0.000100	0.000200	0.006000	0.008000
480.00	0.468900	0.052300	1.458000	18.980000	0.000200	0.000200	0.005000	0.010000
470.00	0.486300	0.043200	1.239000	20.430000	0.000400	0.000100	0.005000	0.020000
460.00	0.502000	0.035700	1.046000	21.710000	0.000400	0.000070	0.004000	0.020000
450.00	0.516600	0.029500	0.877000	22.870000	0.000400	0.000040	0.004000	0.030000
440.00	0.530400	0.024300	0.728000	23.950000	0.000400	0.000030	0.004000	0.030000
430.00	0.543400	0.019910	0.600000	24.940000	0.000300	0.000020	0.003000	0.030000
420.00	0.555700	0.016220	0.489000	25.870000	0.000200	0.000010	0.003000	0.020000
410.00	0.567300	0.013100	0.394000	26.730000	0.000200	0.000010	0.003000	0.030000
400.00	0.578500	0.010490	0.314000	27.540000	0.000500	0.000020	0.003000	0.050000
390.00	0.589400	0.008310	0.247000	28.320000	0.000600	0.000020	0.003000	0.050000
380.00	0.600100	0.006510	0.191000	29.070000	0.000300	0.000030	0.002000	0.030000
370.00	0.610700	0.005030	0.146000	29.800000	0.000600	0.000030	0.002000	0.030000
360.00	0.620900	0.003830	0.109000	30.490000	0.000800	0.000030	0.002000	0.050000
350.00	0.630000	0.002870	0.080000	31.130000	0.001000	0.000030	0.002000	0.070000
TTT (K)	𝝆𝑳	𝝆𝑽	#VALUE!	∆𝑯𝑽	#VALUE!	#VALUE!	#VALUE!	#VALUE!
520.00	0.414000	0.098700	2.398000	13.200000	0.002000	0.000800	0.008000	0.100000
510.00	0.440000	0.080200	2.086000	15.360000	0.001000	0.000400	0.007000	0.090000
500.00	0.462300	0.065700	1.807000	17.230000	0.000900	0.000200	0.007000	0.060000
490.00	0.481300	0.054500	1.558000	18.800000	0.000600	0.000200	0.006000	0.040000
480.00	0.498000	0.045500	1.336000	20.150000	0.000500	0.000100	0.006000	0.030000
470.00	0.513200	0.038000	1.139000	21.350000	0.000400	0.000100	0.005000	0.020000
460.00	0.527300	0.031740	0.964000	22.440000	0.000400	0.000080	0.005000	0.020000
450.00	0.540400	0.026430	0.809000	23.430000	0.000400	0.000070	0.005000	0.030000
440.00	0.552900	0.021920	0.674000	24.360000	0.000400	0.000060	0.005000	0.030000
430.00	0.564800	0.018070	0.557000	25.230000	0.000500	0.000050	0.005000	0.040000
420.00	0.576200	0.014810	0.455000	26.040000	0.000500	0.000040	0.005000	0.050000
410.00	0.587100	0.012030	0.368000	26.810000	0.000300	0.000030	0.005000	0.040000
400.00	0.597600	0.009690	0.295000	27.540000	0.000400	0.000030	0.004000	0.040000
390.00	0.608100	0.007730	0.233000	28.240000	0.000600	0.000030	0.004000	0.030000
380.00	0.618600	0.006080	0.181000	28.930000	0.000900	0.000030	0.004000	0.030000
370.00	0.629000	0.004720	0.139000	29.610000	0.001000	0.000030	0.004000	0.020000
360.00	0.638600	0.003610	0.105000	30.240000	0.000800	0.000020	0.004000	0.040000
TTT (K)	𝝆𝑳	𝝆𝑽	#VALUE!	∆𝑯𝑽	#VALUE!	#VALUE!	#VALUE!	#VALUE!
510.00	0.436000	0.084600	2.203000	14.760000	0.001000	0.000600	0.004000	0.040000
500.00	0.459600	0.070000	1.915000	16.560000	0.000400	0.000500	0.003000	0.050000
490.00	0.478800	0.058400	1.656000	18.080000	0.000300	0.000300	0.002000	0.050000
480.00	0.495900	0.048900	1.425000	19.400000	0.000400	0.000100	0.002000	0.040000
470.00	0.511400	0.041070	1.218000	20.580000	0.000300	0.000040	0.002000	0.020000
460.00	0.525800	0.034410	1.034000	21.660000	0.000400	0.000020	0.002000	0.020000
450.00	0.539500	0.028750	0.871000	22.670000	0.000700	0.000040	0.002000	0.040000
440.00	0.552500	0.023920	0.728000	23.610000	0.000700	0.000040	0.002000	0.040000
430.00	0.564600	0.019780	0.603000	24.470000	0.000700	0.000040	0.002000	0.040000
420.00	0.576100	0.016260	0.495000	25.270000	0.000600	0.000040	0.002000	0.030000
410.00	0.587300	0.013260	0.402000	26.040000	0.000800	0.000040	0.001000	0.040000
400.00	0.598400	0.010720	0.322000	26.780000	0.000900	0.000030	0.001000	0.050000
390.00	0.609300	0.008580	0.255000	27.490000	0.000900	0.000030	0.001000	0.050000
380.00	0.619400	0.006790	0.200000	28.150000	0.000700	0.000020	0.001000	0.040000
370.00	0.629200	0.005300	0.153600	28.770000	0.000900	0.000020	0.000800	0.060000
360.00	0.639000	0.004080	0.116300	29.390000	0.001000	0.000010	0.000600	0.080000
350.00	0.648000	0.003090	0.086400	29.960000	0.001000	0.000010	0.000500	0.060000
TTT (K)	𝝆𝑳	𝝆𝑽	#VALUE!	∆𝑯𝑽	#VALUE!	#VALUE!	#VALUE!	#VALUE!
540.00	0.406500	0.085900	1.917000	15.620000	0.000400	0.000300	0.003000	0.040000
530.00	0.431100	0.069200	1.656000	18.020000	0.000300	0.000200	0.002000	0.030000
520.00	0.452300	0.056300	1.425000	20.110000	0.000200	0.000090	0.002000	0.020000
510.00	0.470700	0.046320	1.220000	21.884000	0.000200	0.000060	0.002000	0.008000
500.00	0.487100	0.038350	1.039000	23.423000	0.000200	0.000040	0.001000	0.008000
490.00	0.502200	0.031810	0.878000	24.800000	0.000200	0.000020	0.001000	0.010000
480.00	0.516300	0.026350	0.737000	26.060000	0.000200	0.000020	0.001000	0.010000
470.00	0.529500	0.021750	0.614000	27.230000	0.000200	0.000020	0.001000	0.010000
460.00	0.541800	0.017870	0.507000	28.300000	0.000200	0.000020	0.001000	0.010000
450.00	0.553700	0.014600	0.414000	29.320000	0.000300	0.000020	0.001000	0.020000
440.00	0.565100	0.011830	0.335300	30.280000	0.000300	0.000020	0.000900	0.020000
430.00	0.576200	0.009510	0.268300	31.200000	0.000300	0.000010	0.000900	0.020000
420.00	0.586800	0.007570	0.212100	32.070000	0.000500	0.000010	0.000800	0.040000
410.00	0.597100	0.005960	0.165400	32.900000	0.000700	0.000010	0.000700	0.050000
400.00	0.607100	0.004637	0.127100	33.700000	0.000600	0.000009	0.000600	0.040000
390.00	0.616700	0.003557	0.096100	34.460000	0.000600	0.000009	0.000500	0.040000
380.00	0.625900	0.002687	0.071500	35.180000	0.000800	0.000009	0.000500	0.060000
370.00	0.634800	0.001996	0.052100	35.870000	0.000800	0.000009	0.000400	0.060000
TTT (K)	𝝆𝑳	𝝆𝑽	#VALUE!	∆𝑯𝑽	#VALUE!	#VALUE!	#VALUE!	#VALUE!
540.00	0.419800	0.081400	1.869000	16.450000	0.000600	0.000400	0.002000	0.050000
530.00	0.443000	0.065800	1.615000	18.760000	0.000500	0.000300	0.002000	0.040000
520.00	0.463000	0.053800	1.390000	20.730000	0.000300	0.000200	0.001000	0.020000
510.00	0.480600	0.044400	1.190000	22.410000	0.000200	0.000100	0.001000	0.020000
500.00	0.496410	0.036900	1.012400	23.880000	0.000080	0.000070	0.000900	0.010000
490.00	0.511000	0.030660	0.855800	25.200000	0.000100	0.000040	0.000800	0.020000
480.00	0.524600	0.025420	0.718300	26.410000	0.000300	0.000030	0.000800	0.020000
470.00	0.537500	0.021010	0.598000	27.540000	0.000400	0.000020	0.000800	0.030000
460.00	0.549700	0.017280	0.493600	28.590000	0.000500	0.000020	0.000800	0.030000
450.00	0.561400	0.014120	0.403500	29.590000	0.000400	0.000020	0.000700	0.030000
440.00	0.572700	0.011450	0.326500	30.530000	0.000300	0.000020	0.000700	0.020000
430.00	0.583500	0.009210	0.261200	31.420000	0.000200	0.000020	0.000600	0.010000
420.00	0.593900	0.007330	0.206400	32.260000	0.000300	0.000020	0.000400	0.020000
410.00	0.604000	0.005770	0.161000	33.070000	0.000400	0.000010	0.000300	0.030000
400.00	0.613800	0.004492	0.123800	33.850000	0.000600	0.000008	0.000300	0.040000
390.00	0.623400	0.003447	0.093600	34.610000	0.000600	0.000006	0.000200	0.040000
380.00	0.632800	0.002604	0.069600	35.330000	0.000600	0.000005	0.000200	0.040000
370.00	0.641900	0.001934	0.050800	36.030000	0.000600	0.000004	0.000200	0.040000
TTT (K)	𝝆𝑳	𝝆𝑽	#VALUE!	∆𝑯𝑽	#VALUE!	#VALUE!	#VALUE!	#VALUE!
540.00	0.421400	0.080300	1.852000	16.650000	0.000300	0.000400	0.004000	0.030000
530.00	0.444600	0.064800	1.599000	18.970000	0.000400	0.000200	0.003000	0.020000
520.00	0.464500	0.053000	1.375000	20.940000	0.000300	0.000100	0.003000	0.020000
510.00	0.482000	0.043800	1.177000	22.600000	0.000300	0.000100	0.003000	0.010000
