TTT (K)	𝝆𝑳	𝝆𝑽	𝑷	∆𝑯𝑽	ρL+/-	ρV+/-	P+/-	Hvap+/-
450.00	0.477300	0.045400	1.437000	18.510000	0.000400	0.000200	0.004000	0.020000
440.00	0.493400	0.037500	1.212000	19.720000	0.000600	0.000100	0.003000	0.030000
430.00	0.508500	0.030930	1.014000	20.830000	0.000600	0.000060	0.003000	0.030000
420.00	0.522600	0.025420	0.841000	21.850000	0.000400	0.000040	0.003000	0.020000
410.00	0.535700	0.020790	0.691000	22.770000	0.000300	0.000030	0.002000	0.010000
400.00	0.548100	0.016890	0.561000	23.635000	0.000200	0.000030	0.002000	0.009000
390.00	0.560300	0.013610	0.451000	24.460000	0.000400	0.000020	0.002000	0.020000
380.00	0.572000	0.010870	0.358000	25.240000	0.001000	0.000010	0.002000	0.050000
370.00	0.583000	0.008578	0.280000	25.960000	0.001000	0.000007	0.002000	0.070000
360.00	0.593300	0.006688	0.215000	26.620000	0.000800	0.000007	0.002000	0.060000
350.00	0.603300	0.005140	0.163000	27.250000	0.000700	0.000010	0.002000	0.050000
340.00	0.613500	0.003890	0.122000	27.890000	0.000500	0.000020	0.001000	0.020000
330.00	0.624000	0.002890	0.089000	28.500000	0.003000	0.000020	0.001000	0.100000
TTT (K)	𝝆𝑳	𝝆𝑽	#VALUE!	∆𝑯𝑽	#VALUE!	#VALUE!	#VALUE!	#VALUE!
470.00	0.414000	0.087200	2.316000	12.630000	0.001000	0.000600	0.005000	0.040000
460.00	0.439000	0.069900	1.992000	14.580000	0.001000	0.000400	0.004000	0.050000
450.00	0.460000	0.057000	1.704000	16.160000	0.001000	0.000200	0.003000	0.040000
440.00	0.478000	0.047000	1.448000	17.480000	0.000700	0.000100	0.003000	0.040000
430.00	0.494100	0.038800	1.223000	18.630000	0.000600	0.000100	0.003000	0.040000
420.00	0.508900	0.032060	1.024000	19.670000	0.000500	0.000080	0.002000	0.030000
410.00	0.522800	0.026390	0.850000	20.620000	0.000400	0.000060	0.002000	0.020000
400.00	0.536000	0.021620	0.699000	21.490000	0.000200	0.000050	0.002000	0.020000
390.00	0.548500	0.017590	0.569000	22.310000	0.000100	0.000040	0.002000	0.010000
380.00	0.560400	0.014200	0.457000	23.068000	0.000200	0.000030	0.002000	0.007000
370.00	0.572000	0.011350	0.363000	23.790000	0.000500	0.000020	0.001000	0.020000
360.00	0.582900	0.008970	0.284000	24.450000	0.000900	0.000020	0.001000	0.040000
350.00	0.593400	0.007000	0.219000	25.080000	0.000800	0.000020	0.001000	0.030000
340.00	0.603500	0.005390	0.166000	25.680000	0.000200	0.000020	0.001000	0.010000
330.00	0.613300	0.004080	0.123000	26.240000	0.000600	0.000020	0.000900	0.040000
320.00	0.622900	0.003030	0.089500	26.790000	0.000900	0.000010	0.000700	0.050000
310.00	0.632500	0.002200	0.063500	27.320000	0.000800	0.000010	0.000500	0.050000
TTT (K)	𝝆𝑳	𝝆𝑽	#VALUE!	∆𝑯𝑽	#VALUE!	#VALUE!	#VALUE!	#VALUE!
480.00	0.413300	0.089300	2.363000	12.790000	0.000600	0.000300	0.007000	0.030000
470.00	0.437600	0.071800	2.031000	14.750000	0.000300	0.000200	0.006000	0.020000
460.00	0.459200	0.058100	1.736000	16.500000	0.000300	0.000200	0.005000	0.020000
450.00	0.477900	0.047400	1.476000	17.990000	0.000300	0.000100	0.005000	0.020000
440.00	0.494500	0.039000	1.247000	19.260000	0.000300	0.000090	0.004000	0.020000
430.00	0.509600	0.032130	1.045000	20.370000	0.000300	0.000070	0.004000	0.020000
420.00	0.523700	0.026430	0.869000	21.380000	0.000300	0.000050	0.003000	0.020000
410.00	0.537000	0.021650	0.716000	22.310000	0.000300	0.000050	0.003000	0.020000
400.00	0.549500	0.017630	0.584000	23.170000	0.000300	0.000040	0.003000	0.020000
390.00	0.561400	0.014250	0.470000	23.970000	0.000400	0.000040	0.002000	0.020000
380.00	0.572700	0.011410	0.375000	24.710000	0.000500	0.000030	0.002000	0.030000
370.00	0.583300	0.009050	0.294000	25.400000	0.000600	0.000030	0.002000	0.030000
360.00	0.593600	0.007080	0.228000	26.050000	0.000600	0.000030	0.002000	0.040000
350.00	0.603700	0.005470	0.173000	26.670000	0.000800	0.000020	0.001000	0.050000
340.00	0.614000	0.004160	0.130000	27.280000	0.001000	0.000020	0.001000	0.060000
330.00	0.623600	0.003110	0.095000	27.870000	0.000800	0.000020	0.001000	0.050000
320.00	0.633000	0.002270	0.068000	28.430000	0.000600	0.000010	0.000900	0.030000
TTT (K)	𝝆𝑳	𝝆𝑽	#VALUE!	∆𝑯𝑽	#VALUE!	#VALUE!	#VALUE!	#VALUE!
510.00	0.405200	0.086700	2.093000	14.300000	0.000700	0.000300	0.005000	0.060000
500.00	0.430600	0.069500	1.802000	16.560000	0.000400	0.000200	0.004000	0.030000
490.00	0.452000	0.056400	1.544000	18.490000	0.000300	0.000100	0.004000	0.020000
480.00	0.470500	0.046320	1.315000	20.110000	0.000300	0.000090	0.004000	0.020000
470.00	0.487100	0.038220	1.113000	21.510000	0.000300	0.000070	0.003000	0.020000
460.00	0.502300	0.031570	0.936000	22.770000	0.000200	0.000050	0.003000	0.010000
450.00	0.516300	0.026010	0.780000	23.917000	0.000200	0.000040	0.003000	0.005000
440.00	0.529400	0.021350	0.645000	24.972000	0.000300	0.000030	0.003000	0.008000
430.00	0.542000	0.017430	0.528000	25.960000	0.000500	0.000020	0.003000	0.020000
420.00	0.554000	0.014120	0.427000	26.880000	0.000500	0.000020	0.003000	0.020000
410.00	0.565400	0.011350	0.342000	27.750000	0.000400	0.000020	0.003000	0.020000
400.00	0.576500	0.009030	0.270000	28.580000	0.000400	0.000030	0.002000	0.020000
390.00	0.587200	0.007110	0.211000	29.370000	0.000500	0.000030	0.002000	0.010000
380.00	0.597600	0.005520	0.162000	30.120000	0.000700	0.000030	0.002000	0.030000
370.00	0.607400	0.004230	0.122000	30.830000	0.000700	0.000040	0.002000	0.030000
360.00	0.617100	0.003190	0.090000	31.510000	0.000400	0.000030	0.002000	0.020000
350.00	0.626900	0.002360	0.066000	32.180000	0.000300	0.000030	0.001000	0.030000
TTT (K)	𝝆𝑳	𝝆𝑽	#VALUE!	∆𝑯𝑽	#VALUE!	#VALUE!	#VALUE!	#VALUE!
520.00	0.399000	0.096300	2.306000	13.500000	0.001000	0.000800	0.006000	0.100000
510.00	0.426300	0.076800	1.996000	15.920000	0.000900	0.000300	0.005000	0.070000
500.00	0.448400	0.062600	1.721000	17.890000	0.000600	0.000200	0.005000	0.030000
490.00	0.467100	0.051700	1.476000	19.520000	0.000400	0.000100	0.004000	0.020000
480.00	0.483600	0.042890	1.258000	20.930000	0.000400	0.000090	0.004000	0.020000
470.00	0.498800	0.035630	1.065000	22.200000	0.000200	0.000080	0.004000	0.010000
460.00	0.513100	0.029540	0.896000	23.370000	0.000500	0.000070	0.004000	0.030000
450.00	0.526900	0.024410	0.747000	24.470000	0.000600	0.000070	0.003000	0.030000
440.00	0.539600	0.020070	0.617000	25.480000	0.000400	0.000050	0.003000	0.020000
430.00	0.551600	0.016410	0.506000	26.410000	0.000400	0.000040	0.003000	0.020000
420.00	0.563200	0.013310	0.410000	27.300000	0.000300	0.000030	0.002000	0.010000
410.00	0.574400	0.010710	0.328000	28.150000	0.000500	0.000030	0.002000	0.040000
400.00	0.585100	0.008540	0.260000	28.940000	0.000600	0.000030	0.002000	0.050000
390.00	0.595600	0.006730	0.203000	29.700000	0.000400	0.000020	0.002000	0.040000
380.00	0.605600	0.005240	0.156000	30.420000	0.000500	0.000020	0.002000	0.050000
370.00	0.615300	0.004020	0.118000	31.100000	0.000800	0.000020	0.001000	0.070000
360.00	0.625700	0.003040	0.087000	31.820000	0.000600	0.000030	0.001000	0.040000
TTT (K)	𝝆𝑳	𝝆𝑽	#VALUE!	∆𝑯𝑽	#VALUE!	#VALUE!	#VALUE!	#VALUE!
520.00	0.408400	0.094500	2.283000	13.760000	0.000300	0.000400	0.003000	0.030000
510.00	0.434100	0.076000	1.976000	16.060000	0.000400	0.000300	0.002000	0.020000
500.00	0.456100	0.061800	1.703000	18.040000	0.000400	0.000100	0.002000	0.020000
490.00	0.475000	0.050900	1.461000	19.690000	0.000400	0.000050	0.001000	0.020000
480.00	0.491800	0.042230	1.245000	21.110000	0.000300	0.000020	0.001000	0.020000
470.00	0.507100	0.035100	1.055000	22.370000	0.000300	0.000020	0.001000	0.020000
460.00	0.521400	0.029120	0.886000	23.530000	0.000300	0.000020	0.001000	0.020000
450.00	0.534700	0.024080	0.739000	24.590000	0.000400	0.000010	0.001000	0.030000
440.00	0.547200	0.019821	0.611000	25.570000	0.000500	0.000009	0.001000	0.030000
430.00	0.559200	0.016215	0.500200	26.490000	0.000400	0.000009	0.000900	0.030000
420.00	0.570800	0.013170	0.405300	27.360000	0.000200	0.000010	0.000900	0.020000
410.00	0.582000	0.010600	0.324600	28.190000	0.000100	0.000010	0.000800	0.010000
400.00	0.592900	0.008450	0.256700	28.980000	0.000200	0.000010	0.000700	0.020000
390.00	0.603200	0.006660	0.200200	29.730000	0.000400	0.000010	0.000600	0.020000
380.00	0.613300	0.005190	0.153800	30.440000	0.000600	0.000010	0.000500	0.040000
370.00	0.622900	0.003980	0.116200	31.110000	0.000600	0.000010	0.000500	0.040000
360.00	0.632300	0.003010	0.086200	31.760000	0.000600	0.000010	0.000400	0.040000
350.00	0.641600	0.002229	0.062700	32.390000	0.000200	0.000009	0.000300	0.020000
TTT (K)	𝝆𝑳	𝝆𝑽	#VALUE!	∆𝑯𝑽	#VALUE!	#VALUE!	#VALUE!	#VALUE!
500.00	0.411000	0.089000	2.121000	13.700000	0.002000	0.002000	0.007000	0.200000
490.00	0.436400	0.071600	1.829000	15.780000	0.000600	0.000700	0.004000	0.090000
480.00	0.457700	0.058300	1.570000	17.580000	0.000200	0.000300	0.003000	0.040000
470.00	0.475900	0.048000	1.340000	19.090000	0.000500	0.000100	0.003000	0.030000
460.00	0.492100	0.039700	1.136000	20.400000	0.000900	0.000100	0.002000	0.040000
450.00	0.507000	0.032900	0.957000	21.570000	0.001000	0.000100	0.002000	0.040000
440.00	0.520700	0.027170	0.800000	22.630000	0.000600	0.000080	0.002000	0.020000
